Designator,Footprint,Quantity,Value,LCSC Part #,Comment
"C1, C11, C13, C14, C2, C26, C30, C31, C33, C34, C4, C5, C6, C7, C8, C22",805,16,100nF,C28233,https://jlcpcb.com/partdetail/28983-CL21B104KCFNNNE/C28233
"C10, C19, C3, C9",805,4,1uF,C28323 ,https://jlcpcb.com/partdetail/29074-CL21B105KBFNNNE/C28323
"C12, C24, C28, C32, C35",805,5,10uF,C15850 ,https://jlcpcb.com/partdetail/16532-CL21A106KAYNNNE/C15850
"C15, C16",805,2,10pF,C913595,
C17,805,1,1.2pF,C565579,
C18,805,1,1.8pF,C318724,
"C21, C36",805,2,4.7uF,C1779 ,https://jlcpcb.com/partdetail/2131-CL21A475KAQNNNE/C1779
"C25, C29",805,2,2.2uF,C377773 ,https://jlcpcb.com/partdetail/350246-CL21A225KBQNNNE/C377773
C27,805,1,4.7uF,C1779 ,https://jlcpcb.com/partdetail/2131-CL21A475KAQNNNE/C1779
"D1, D3, D4",DIODFN2_98X58X50L26X51N,3,H5VL10B,C7420372 ,https://jlcpcb.com/parts/componentSearch?searchTxt=H5VL10B
"D11, D12, D9",SMA(DO-214AC),3,SS54,C7420369,https://jlcpcb.com/partdetail/Hongjiacheng-SS54/C7420369
D7,805,1,RED LED,C2296 ,https://jlcpcb.com/partdetail/Hubei_KentoElec-KT0805Y/C2296
D8,805,1,GREEN LED,C2297,https://jlcpcb.com/partdetail/Hubei_KentoElec-KT0805G/C2297
L1,805,1,3.3uH,C307744,
L2,805,1,2.2nH,C251816 ,
L3,805,1,2.7nH,C578018,
Q1,SOT-23,1,SS8550,C8542 ,https://jlcpcb.com/partdetail/9037-SS8550Y2/C8542
"Q4, Q6",SOT-23,2,AO3401A,C15127 ,https://jlcpcb.com/partdetail/Alpha_OmegaSemicon-AO3401A/C15127
"Q5, Q8",SOT-23,2,MMBT3904,C20526,https://jlcpcb.com/partdetail/21237-MMBT3904/C20526
Q7,SOT-23,1,AO3400A,C20917 ,https://jlcpcb.com/partdetail/Alpha_OmegaSemicon-AO3400A/C20917
"R1, R5",805,2,20K,C4328,https://jlcpcb.com/partdetail/4735-0805W8F2002T5E/C4328
"R10, R12, R18, R20, R21, R22, R6, R7, R8, R9",805,10,0R,C17477,
"R11, R13, R15, R16, R36, R43, R46",805,7,10K,C17414,https://jlcpcb.com/partdetail/18102-0805W8F1002T5E/C17414
"R14, R23",805,2,1K,C17513 ,
"R17, R19",805,2,5K1,C27834 ,
R2,805,1,8.2K,C17828 ,
R26,805,1,1K5,C4310,
R27,805,1,22R,C17561 ,
R28,805,1,499R,C218597,
"R3, R4, R40",805,3,100R,C17408 ,
R31,805,1,4K7,C17673 ,
R33,805,1,24K,C17575,
R34,805,1,47K,C17713 ,
"R35, R38, R41",805,3,100K,C149504,
"R37, R42",805,2,30K,C17621 ,
R39,805,1,1M,C17514 ,
"S1, S2, S3, S4",SW_TS-1187A-B-A-B,4,TS-1187A-B-A-B,C318884 ,
U1,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521 ,
U2,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102,C6568 ,
U3,SOP127P600X175-9N,1,TP4056,C16581 ,
U5,SOP-16_3.9x9.9mm_P1.27mm,1,HX711,C6705483,
U7,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,1,ESP32-S2,C2840995,
U8,SOT-23-5,1,TLV75733PDBV,C485517,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,X252040MMB4SI,C2885592,https://jlcpcb.com/partdetail/Yxc-X252040MMB4SI/C2885592
