Designator,Mid X,Mid Y,Rotation,Layer
BAT1,165.075,-124.05,270,bottom
C1,169.1,-97.8,90,top
C10,202,-93.5,90,top
C11,204.3,-93.5,90,top
C12,199.8,-93.5,90,top
C13,208.5,-96.6,90,top
C14,199.75,-103.7,180,top
C15,221,-99,0,top
C16,220.95,-104.75,180,top
C17,211.95,-92.2,0,top
C18,211.75,-97.9,0,top
C19,226.7,-99.1,180,top
C2,204.736,-110.814,180,top
C20,174.7,-131.25,0,top
C21,238.95,-122.65,270,top
C22,198.8,-129.6,0,top
C24,175.345,-114.7,180,top
C25,206.4875,-126.4,270,top
C26,231.7,-113.65,270,top
C27,229.5,-113.65,270,top
C28,234,-110.85,0,top
C29,213.4875,-126.4,270,top
C3,204.7,-113.1,180,top
C30,200.9,-138.45,90,top
C31,159.6,-102.55,180,top
C32,159.6,-100.1,180,top
C33,163.8,-110.35,180,top
C34,163.85,-107.25,180,top
C35,174.1,-97.75,90,top
C36,239.05,-115.3,90,top
C4,216.15,-108.6,0,top
C5,199.75,-108.5,180,top
C6,216.15,-105.15,0,top
C7,216.15,-100,0,top
C8,216.15,-97.7,0,top
C9,216.1,-95.55,0,top
D1,245.875,-112.75,180,top
D11,218.85,-132.25,180,top
D12,218.9,-128.55,180,top
D3,244.3,-112.75,0,top
D4,238.8,-118.55,0,top
D7,194.7,-105.2,180,bottom
D8,194.7,-102.25,180,bottom
D9,203.35,-128.2,270,top
J1,153.05,-100.35,0,bottom
J2,153.05,-90.3,0,bottom
J3,157.5,-85.05,270,bottom
J4,188.47,-92.1,90,bottom
J5,188.475,-84.65,90,bottom
J6,188.46,-88.4,90,bottom
J7,215.3,-120.22,180,bottom
L1,163.9,-102.7,0,top
L2,206.4,-95.6,90,top
L3,210.9,-95.0625,270,top
OUTPUT1,246.545,-104.151422,270,bottom
Q1,164.7125,-99.2,180,top
Q4,190.8,-113,180,top
Q5,226.6625,-124.2,0,top
Q6,204.4,-138.45,0,top
Q7,217.45,-137,180,top
Q8,228.825,-120.3,180,top
R1,163.9,-104.65,180,top
R10,200.2,-111.9,90,top
R11,199.75,-105.85,180,top
R12,216.15,-102.15,180,top
R13,231.2,-99.05,0,top
R14,190.4,-102.3,180,top
R15,225.5,-113.85,90,top
R16,223.3,-113.85,90,top
R17,235.75,-115.3,90,top
R18,174.7,-129.05,180,top
R19,235.85,-122.65,270,top
R2,159.65,-104.65,180,top
R20,229.9,-124.2,270,top
R21,225.6375,-120.3,270,top
R22,207,-132.15,90,top
R23,190.3125,-105.2,180,top
R26,175.35,-111.35,180,top
R27,201.45,-96.55,0,top
R28,221.8,-109.8,90,top
R3,159.65,-108,180,top
R31,234.03,-104.58,180,top
,,,,
R33,234.0175,-106.63,0,top
R34,234.03,-108.73,180,top
R35,191.75,-116.8,270,top
R36,184.69375,-117.1,180,top
R37,180.95625,-117.05,180,top
R38,197.65,-138.45,270,top
R39,220.9375,-137,90,top
R4,159.7,-110.3,180,top
R40,220.25,-120,180,top
R41,210,-129.55,0,top
R42,227.9,-104.2,0,top
R43,227.8875,-102.15,0,top
R46,154.4,-125.3,180,top
R5,158.7,-89.5,180,top
R6,209.94,-112.2,90,top
R7,212.1,-112.2,90,top
R8,207.8,-112.2,90,top
R9,197.9,-111.9,90,top
S1,175.025,-130.25,270,bottom
S2,199,-130,270,bottom
S3,220.05,-120.1,270,bottom
S4,154,-120.0875,270,bottom
U1,205.9,-117.4,0,top
U2,227.7,-108.75,90,top
U3,182.625,-112.145,0,top
U5,171.6,-105,0,top
U7,208.6,-104.3,270,top
U8,210.0875,-126.4,0,top
USBC1,246.35,-118.93,90,top
Y1,220.9,-101.9,270,top
